view,column,kept_for_ml,reason,dtype,non_null_pct,unique_values
temporal_lag,ml_tp_log_lag_1,True,kept,float64,99.15937713257647,31879
temporal_lag,ml_tp_log_lag_2,True,kept,float64,98.31875426515293,31609
temporal_lag,ml_tp_log_lag_3,True,kept,float64,97.47813139772938,31339
temporal_lag,ml_tp_log_lag_5,True,kept,float64,95.80308952168248,30803
temporal_lag,ml_tp_log_lag_10,True,kept,float64,91.63099447856567,29462
temporal_lag,ml_tp_log_past_median_5,True,kept,float64,98.31875426515293,18319
temporal_lag,ml_tp_log_past_mean_10,True,kept,float64,97.47813139772938,31425
temporal_lag,ml_tp_log_past_slope_5,True,kept,float64,95.80308952168248,30885
temporal_lag,ml_rsrp_lag_1,True,kept,float64,99.15937713257647,31334
temporal_lag,ml_rsrp_past_mean_5,True,kept,float64,98.31875426515293,31693
temporal_lag,ml_sinr_lag_1,True,kept,float64,99.15937713257647,31473
temporal_lag,ml_sinr_past_mean_5,True,kept,float64,98.31875426515293,31693
temporal_lag,ml_rb_lag_1,True,kept,float64,99.15937713257647,286
temporal_lag,ml_rb_past_mean_5,True,kept,float64,98.31875426515293,1560
temporal_lag,ml_bler_lag_1,True,kept,float64,99.15627520317638,23025
temporal_lag,ml_bler_past_mean_5,True,kept,float64,98.31565233575283,31434
temporal_lag,ml_cqi_lag_1,True,kept,float64,98.82436875736708,15
temporal_lag,ml_cqi_past_mean_5,True,kept,float64,97.98374588994353,119
temporal_lag,ml_temporal_history_count,True,kept,int64,100.0,21
temporal_lag,serving_earfcn,True,kept,float64,100.0,8
temporal_lag,serving_band,True,kept,float64,100.0,4
temporal_lag,id_test_type,True,kept,str,100.0,2
temporal_lag,download_context_label,True,kept,str,100.0,3
temporal_lag,ca_condition_label,True,kept,str,100.0,3
temporal_lag,rb_usage_bucket,True,kept,str,100.0,4
temporal_lag,rb_demand_confidence_ml,True,kept,str,100.0,4
temporal_lag,rb_capacity_estimation_method,True,kept,str,100.0,3
lstm_temporal,ml_hour_sin,True,kept,float64,100.0,8
lstm_temporal,ml_hour_cos,True,kept,float64,100.0,8
lstm_temporal,session_elapsed_seconds,True,kept,float64,100.0,125
lstm_temporal,speed,True,kept,float64,100.0,18415
lstm_temporal,distance_from_prev_m,True,kept,float64,99.52230287238663,27801
lstm_temporal,lte_rsrp,True,kept,float64,100.0,31592
lstm_temporal,lte_rsrq,True,kept,float64,100.0,28612
lstm_temporal,lte_sinr,True,kept,float64,100.0,31730
lstm_temporal,lte_rssi,True,kept,float64,100.0,31307
lstm_temporal,lte_cqi,True,kept,float64,99.66499162479062,15
lstm_temporal,lte_mcs,True,kept,float64,99.99689807059991,29
lstm_temporal,lte_bler,True,kept,float64,99.99689807059991,23189
lstm_temporal,lte_rank,True,kept,float64,99.6246665425895,4
lstm_temporal,lte_rb_count,True,kept,float64,99.99689807059991,98
lstm_temporal,lte_agg_rb_dl,True,kept,float64,100.0,286
lstm_temporal,rb_usage_value,True,kept,float64,100.0,286
lstm_temporal,rb_utilization_pct_clipped,True,kept,float64,100.0,370
lstm_temporal,carrier_count,True,kept,float64,100.0,3
lstm_temporal,lte_agg_bandwidth_dl,True,kept,float64,99.99379614119984,6
lstm_temporal,lte_bandwidth_dl,True,kept,float64,99.99379614119984,2
lstm_temporal,scell1_rsrp,True,kept,float64,72.41143991562751,22225
