site_sector_ID,siteID,sectors_count,sectorID,Requires_Planning,Azimuth,Latitude,Longitude,Freq Band,Cell Radius,RSI,PCI,Mod4,Unnamed: 15,PCI_numeric,Mod4_numeric,Expected_Mod4,Mod4_Matches
ALX6016-4,ALX6016,4,94,False,295,30.962023,28.777482,N41,7000,416.0,655.0,3.0,,655.0,3.0,3.0,True
ALX6017-1,ALX6017,4,91,False,90,31.178092,27.638889,N41,7000,630.0,817.0,1.0,,817.0,1.0,1.0,True
ALX6017-2,ALX6017,4,92,False,155,31.178092,27.638889,N41,7000,625.0,995.0,3.0,,995.0,3.0,3.0,True
ALX6017-3,ALX6017,4,93,False,255,31.178092,27.638889,N41,7000,620.0,154.0,2.0,,154.0,2.0,2.0,True
ALX6017-4,ALX6017,4,94,False,340,31.178092,27.638889,N41,7000,615.0,816.0,0.0,,816.0,0.0,0.0,True
ALX6019-1,ALX6019,3,91,False,50,30.950395,28.826603,N41,7000,120.0,99.0,3.0,,99.0,3.0,3.0,True
ALX6019-2,ALX6019,3,92,False,160,30.950395,28.826603,N41,7000,115.0,686.0,2.0,,686.0,2.0,2.0,True
ALX6019-3,ALX6019,3,93,False,270,30.950395,28.826603,N41,7000,110.0,16.0,0.0,,16.0,0.0,0.0,True
ALX6023-1,ALX6023,3,91,False,50,30.84479,28.960281,N41,7000,775.0,245.0,1.0,,245.0,1.0,1.0,True
ALX6023-2,ALX6023,3,92,False,150,30.84479,28.960281,N41,7000,770.0,190.0,2.0,,190.0,2.0,2.0,True
ALX6023-3,ALX6023,3,93,False,230,30.84479,28.960281,N41,7000,765.0,668.0,0.0,,668.0,0.0,0.0,True
ALX6025-1,ALX6025,3,91,False,40,30.991578,28.692921,N41,7000,145.0,199.0,3.0,,199.0,3.0,3.0,True
ALX6025-2,ALX6025,3,92,False,115,30.991578,28.692921,N41,7000,140.0,389.0,1.0,,389.0,1.0,1.0,True
ALX6025-3,ALX6025,3,93,False,335,30.991578,28.692921,N41,7000,135.0,228.0,0.0,,228.0,0.0,0.0,True
ALX6027-1,ALX6027,4,91,False,80,31.080709,28.082849,N41,7000,95.0,918.0,2.0,,918.0,2.0,2.0,True
ALX6027-2,ALX6027,4,92,False,165,31.080709,28.082849,N41,7000,90.0,969.0,1.0,,969.0,1.0,1.0,True
ALX6027-3,ALX6027,4,93,False,275,31.080709,28.082849,N41,7000,75.0,412.0,0.0,,412.0,0.0,0.0,True
ALX6027-4,ALX6027,4,94,False,350,31.080709,28.082849,N41,7000,50.0,315.0,3.0,,315.0,3.0,3.0,True
ALX6028-1,ALX6028,4,91,False,40,30.9605,28.760031,N41,7000,265.0,516.0,0.0,,516.0,0.0,0.0,True
ALX6028-2,ALX6028,4,92,False,105,30.9605,28.760031,N41,7000,260.0,687.0,3.0,,687.0,3.0,3.0,True
ALX6028-3,ALX6028,4,93,False,225,30.9605,28.760031,N41,7000,255.0,417.0,1.0,,417.0,1.0,1.0,True
ALX6028-4,ALX6028,4,94,False,335,30.9605,28.760031,N41,7000,250.0,970.0,2.0,,970.0,2.0,2.0,True
ALX6029-1,ALX6029,4,91,False,50,30.980226,28.732148,N41,7000,745.0,250.0,2.0,,250.0,2.0,2.0,True
ALX6029-2,ALX6029,4,92,False,120,30.980226,28.732148,N41,7000,740.0,332.0,0.0,,332.0,0.0,0.0,True
ALX6029-3,ALX6029,4,93,False,185,30.980226,28.732148,N41,7000,735.0,893.0,1.0,,893.0,1.0,1.0,True
ALX6029-4,ALX6029,4,94,False,340,30.980226,28.732148,N41,7000,730.0,147.0,3.0,,147.0,3.0,3.0,True
ALX6031-1,ALX6031,3,91,False,205,31.087538,27.999913,N41,7000,50.0,50.0,2.0,,50.0,2.0,2.0,True
ALX6031-2,ALX6031,3,92,False,270,31.087538,27.999913,N41,7000,15.0,51.0,3.0,,51.0,3.0,3.0,True
ALX6031-3,ALX6031,3,93,False,345,31.087538,27.999913,N41,7000,10.0,52.0,0.0,,52.0,0.0,0.0,True
ALX6033-1,ALX6033,4,91,False,0,31.08014,27.99306,N41,7000,184.0,510.0,2.0,,510.0,2.0,2.0,True
ALX6033-2,ALX6033,4,92,False,60,31.08014,27.99306,N41,7000,176.0,632.0,0.0,,632.0,0.0,0.0,True
ALX6033-3,ALX6033,4,93,False,150,31.08014,27.99306,N41,7000,168.0,825.0,1.0,,825.0,1.0,1.0,True
ALX6033-4,ALX6033,4,94,False,310,31.08014,27.99306,N41,7000,160.0,679.0,3.0,,679.0,3.0,3.0,True
ALX6034-1,ALX6034,4,91,False,10,30.85330706,28.9139692,N41,7000,720.0,371.0,3.0,,371.0,3.0,3.0,True
ALX6034-2,ALX6034,4,92,False,110,30.85330706,28.9139692,N41,7000,715.0,956.0,0.0,,956.0,0.0,0.0,True
ALX6034-3,ALX6034,4,93,False,260,30.85330706,28.9139692,N41,7000,710.0,710.0,2.0,,710.0,2.0,2.0,True
ALX6034-4,ALX6034,4,94,False,305,30.85330706,28.9139692,N41,7000,705.0,461.0,1.0,,461.0,1.0,1.0,True
