serving_cell_key,serving_eci,serving_pci,serving_earfcn,approx_latitude,approx_longitude,location_uncertainty_radius_m,p90_observation_spread_m,anomaly_gps_rows,sessions,max_incident_priority_0_100,dominant_case,coverage_or_planning_review,location_reliability,location_is_tower_coordinate,location_method
ECI:1070366.0,1070366.0,333.0,1850.0,-17.77982675,177.4880666,528.0886331459288,528.0886331459288,6,2,51.52,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1078588.0,1078588.0,162.0,40790.0,-17.65136851,177.44442311,0.0,0.0,1,1,51.45,temporal_sudden_drop,False,LOW,False,anomaly_observation_centroid
ECI:1073184.0,1073184.0,469.0,1850.0,-17.79587352,177.4363396,0.0,0.0,1,1,51.44,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1069375.0,1069375.0,136.0,40988.0,-17.7630481,177.4415781,105.31675732139486,105.31675732139486,5,2,51.43,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1075767.0,1075767.0,160.0,9310.0,-17.655206274999998,177.438196925,0.07999497441525157,0.07999497441525157,2,1,51.39,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:3640383.0,3640383.0,231.0,41384.0,-17.6264145,177.46354055,4.588632972852573,4.588632972852573,2,1,51.39,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1075764.0,1075764.0,356.0,41186.0,-17.6401067,177.4227132,790.2860622287321,790.2860622287321,3,2,51.28,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1079878.0,1079878.0,495.0,9310.0,-17.59588175,177.5047134,171.65299663259196,171.65299663259196,6,1,51.21,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1073469.0,1073469.0,81.0,40790.0,-17.77752513,177.47778335,0.0,0.0,1,1,51.15,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1082167.0,1082167.0,141.0,41384.0,-17.60427335,177.444948965,0.028639703410259534,0.028639703410259534,2,1,51.02,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1079065.0,1079065.0,169.0,356.0,-17.6216574,177.4366166,110.78026738300493,110.78026738300493,9,1,50.93,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1067048.0,1067048.0,339.0,40790.0,-17.77130787,177.4370691,118.5420342249382,118.5420342249382,3,1,50.91,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1068064.0,1068064.0,143.0,1850.0,-17.799712405,177.417776005,8.608350713044837,8.608350713044837,2,1,50.76,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1077815.0,1077815.0,167.0,41384.0,-17.63402194,177.4570066,624.5804066972407,624.5804066972407,3,2,50.74,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1077534.0,1077534.0,188.0,1850.0,-17.59872419,177.45935983,0.0,0.0,1,1,50.72,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1076552.0,1076552.0,180.0,9310.0,-17.61963194,177.43930909,0.0,0.0,1,1,50.65,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3640374.0,3640374.0,274.0,40988.0,-17.6336082,177.45980579,0.0,0.0,1,1,50.62,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1080641.0,1080641.0,353.0,40988.0,-17.6141124,177.46146045,287.56229526272836,287.56229526272836,5,1,50.6,ca_underperformance,False,MEDIUM,False,anomaly_observation_centroid
ECI:1066045.0,1066045.0,123.0,40790.0,-17.77135919,177.43674992,36.60382887989453,36.60382887989453,5,1,50.55,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1064725.0,1064725.0,363.0,40790.0,-17.79678763,177.40600631,0.0,0.0,1,1,50.55,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1071677.0,1071677.0,395.0,40790.0,-17.80619877,177.42704507,0.0,0.0,1,1,50.55,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1081876.0,1081876.0,182.0,41384.0,-17.61273378,177.448371,0.0,0.0,1,1,50.46,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1068350.0,1068350.0,50.0,40790.0,-17.7478668,177.4555751,10.773386394169473,10.773386394169473,3,1,50.36,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
