serving_pci,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability
373.0,295,10,14.86316,6.2706048,17.017477510847456,27.45762711864407,29.491525423728817,18.64406779661017,7.924292999999997,24.86570800000001,-107.932396,-12.303572,5.6,6.0,15.0,9.742121,14.192309800000007,76.0,0.1951903238095238,-17.60556418,177.46128821,295,0.9246575342465754,0.5958904109589042,0.773972602739726,0.3698630136986301,0.9691780821917808,0.821917808219178,0.910958904109589,0.9383561643835616,0.8356164383561644,0.952054794520548,80.28,pci_only_reuse_caution,11,93.15,True,HIGH
167.0,267,13,5.997048,0.6789376,7.032777668689139,74.53183520599251,80.89887640449437,58.80149812734082,60.310975,100.17448930000002,-91.452446,-10.805398,12.627831,9.0,18.0,6.626506,16.196373,98.0,0.07217167816091954,-17.6307621,177.4542662,267,0.9931506849315068,0.9315068493150684,1.0,0.9931506849315068,0.5513698630136986,0.5753424657534246,0.5,0.4383561643835616,0.6301369863013698,0.3356164383561644,79.88,pci_only_reuse_caution,12,92.47,True,HIGH
130.0,82,6,8.85756,1.7928423999999998,10.334492889024391,59.756097560975604,63.41463414634146,39.02439024390244,8.725478000000003,35.894226200000006,-99.91193,-10.175193,8.4446795,8.0,16.0,7.82927295,19.877555700000006,37.5,0.19406788900429306,-17.7718576,177.43854909,82,0.9657534246575342,0.863013698630137,0.9657534246575342,0.3904109589041096,0.75,0.7636986301369864,0.589041095890411,0.8287671232876712,0.5068493150684932,0.7191780821917808,78.9,pci_only_reuse_caution,13,91.78,True,MEDIUM
182.0,285,14,15.701608,2.389294400000001,26.65745410308772,35.43859649122807,41.40350877192983,22.807017543859647,17.903045,46.097472700000004,-105.721985,-11.188145,8.581112,8.0,12.0,4.2735043,8.4700192,124.0,0.17267795424836602,-17.61133827,177.45481801,285,0.910958904109589,0.821917808219178,0.9178082191780822,0.589041095890411,0.75,0.958904109589041,0.2671232876712329,0.821917808219178,0.7328767123287672,0.9246575342465754,78.01,pci_only_reuse_caution,14,91.1,True,HIGH
179.0,437,10,17.225945,4.6424624,31.235946732265447,29.51945080091533,38.215102974828376,26.773455377574372,33.170277999999996,73.12360260000001,-99.74725,-10.523515,10.920485,8.0,17.0,7.853026,12.828325400000008,103.0,0.1874778536585366,-17.61428283,177.465637,437,0.8835616438356164,0.7123287671232876,0.8972602739726028,0.8698630136986302,0.75,0.6746575342465754,0.5958904109589042,0.6164383561643836,0.5684931506849316,0.7123287671232876,77.25,pci_only_reuse_caution,15,90.41,True,HIGH
272.0,41,3,20.226696,0.168752,27.004661192682928,31.70731707317073,34.146341463414636,14.634146341463413,47.34349300000001,98.221094,-89.09375,-13.123798,10.695605,8.0,19.0,6.557377,10.985626,96.0,0.23201927044025158,-17.63045314,177.45386322,41,0.8424657534246576,0.9863013698630136,0.8287671232876712,0.9657534246575342,0.75,0.4520547945205479,0.4931506849315068,0.6301369863013698,0.8972602739726028,0.23972602739726026,77.23,pci_only_reuse_caution,16,89.73,False,LOW
340.0,85,2,28.12656,0.0351408,25.746257682329414,25.882352941176475,27.058823529411764,16.470588235294116,-1.436830999999998,18.034873500000003,-111.84375,-12.30984,5.519767,6.0,13.0,9.596577,15.356697200000003,96.0,0.25223230337078656,-17.78877476,177.44170807,85,0.7397260273972602,0.9931506849315068,0.6712328767123288,0.07534246575342465,0.9691780821917808,0.9143835616438356,0.9041095890410958,0.9452054794520548,0.8424657534246576,0.9931506849315068,76.97,pci_only_reuse_caution,17,89.04,False,MEDIUM
402.0,108,6,18.7590445,0.017633600000000003,53.63972604907408,20.37037037037037,21.296296296296298,12.037037037037036,2.0395974999999993,45.39919899999999,-99.61843999999999,-11.625594,5.5157375,7.0,14.0,9.5395655,14.5648715,66.5,0.33504002085781437,-17.763714450000002,177.44092215,108,0.863013698630137,1.0,0.4726027397260274,0.1506849315068493,0.9006849315068494,0.8664383561643836,0.8972602739726028,0.952054794520548,0.7876712328767124,0.7054794520547946,76.41,pci_only_reuse_caution,18,88.36,False,HIGH
469.0,1339,17,19.368343,3.625307200000001,24.369640296709857,23.823749066467514,26.960418222554143,17.251680358476477,11.4424755,34.77895705,-105.56424,-10.893258,4.93,6.0,14.0,7.511737,15.3033224,107.0,0.18185928476821192,-17.8128905,177.4432644,1339,0.8493150684931506,0.7671232876712328,0.6643835616438356,0.4657534246575342,0.9691780821917808,0.8664383561643836,0.5273972602739726,0.9726027397260274,0.6575342465753424,0.910958904109589,75.92,pci_only_reuse_caution,19,87.67,False,HIGH
147.0,288,15,21.852871999999998,2.395865600000001,30.48867639225695,30.208333333333332,36.11111111111111,23.26388888888889,9.229654,37.23373635000001,-107.257678,-11.135885,8.228244,8.0,13.0,6.1196295,11.5925899,121.0,0.19760683424132364,-17.8006761,177.418947985,288,0.8287671232876712,0.815068493150685,0.8493150684931506,0.410958904109589,0.75,0.9143835616438356,0.4383561643835616,0.8356164383561644,0.7191780821917808,0.9452054794520548,74.63,pci_only_reuse_caution,20,86.99,False,HIGH
