id,timestamp,id_route_test_label,id_test_type,Activity.Activity,Activity.Duration,Activity.End TimeStamp,Activity.Power,Activity.Quality,Activity.SINR,Activity.Start TimeStamp,Activity.Status,Activity.Tech,Activity.Throughput,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825153502+Fiji-Nadi-MO-D!20250825140014,2025-08-25 04:00:03+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,102256.0,2025-08-25T04:00:03.905000+02:00,-77.68,-11.55,9.71,2025-08-25T03:58:21.649000+02:00,Success,HSPA+,64.0,2025-08-25 03:58:21.649000+02:00,2025-08-25 04:00:03.905000+02:00
542020041221088+20250825153742+Fiji-Nadi-MO-D!20250825140220,2025-08-25 04:02:09+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105151.0,2025-08-25T04:02:09.262000+02:00,-69.23,-9.59,7.55,2025-08-25T04:00:24.111000+02:00,Success,HSPA+,72.0,2025-08-25 04:00:24.111000+02:00,2025-08-25 04:02:09.262000+02:00
542020041221088+20250825153823+Fiji-Nadi-MO-D!20250825140423,2025-08-25 04:04:12+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103130.0,2025-08-25T04:04:12.729000+02:00,-62.7,-8.92,14.47,2025-08-25T04:02:29.600000+02:00,Success,HSPA+,56.0,2025-08-25 04:02:29.600000+02:00,2025-08-25 04:04:12.729000+02:00
542020041221088+20250825153915+Fiji-Nadi-MO-D!20250825140628,2025-08-25 04:06:17+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105127.0,2025-08-25T04:06:17.803000+02:00,-66.69,-9.5,5.41,2025-08-25T04:04:32.676000+02:00,Success,HSPA+,80.0,2025-08-25 04:04:32.676000+02:00,2025-08-25 04:06:17.803000+02:00
542020041221088+20250825154103+Fiji-Nadi-MO-D!20250825140833,2025-08-25 04:08:22+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104118.0,2025-08-25T04:08:22.093000+02:00,-62.82,-10.03,13.47,2025-08-25T04:06:37.975000+02:00,Success,HSPA+,72.0,2025-08-25 04:06:37.975000+02:00,2025-08-25 04:08:22.093000+02:00
542020041221088+20250825154444+Fiji-Nadi-MO-D!20250825141037,2025-08-25 04:10:26+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104232.0,2025-08-25T04:10:26.350000+02:00,-66.27,-8.98,11.31,2025-08-25T04:08:42.119000+02:00,Success,HSPA+,80.0,2025-08-25 04:08:42.119000+02:00,2025-08-25 04:10:26.350000+02:00
542020041221088+20250825154504+Fiji-Nadi-MO-D!20250825141235,2025-08-25 04:12:24+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,98073.0,2025-08-25T04:12:24.616000+02:00,-88.36,-9.79,13.28,2025-08-25T04:10:46.543000+02:00,Failed,LTE CA2,3272.0,2025-08-25 04:10:46.543000+02:00,2025-08-25 04:12:24.616000+02:00
542020041221088+20250825154705+Fiji-Nadi-MO-D!20250825141437,2025-08-25 04:14:26+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,101238.0,2025-08-25T04:14:26.273000+02:00,-72.86,-10.45,7.42,2025-08-25T04:12:45.036000+02:00,Success,HSPA+,80.0,2025-08-25 04:12:45.036000+02:00,2025-08-25 04:14:26.273000+02:00
542020041221088+20250825155427+Fiji-Nadi-MO-D!20250825141642,2025-08-25 04:16:31+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105181.0,2025-08-25T04:16:31.792000+02:00,-79.32,-12.7,5.62,2025-08-25T04:14:46.611000+02:00,Success,HSPA+,72.0,2025-08-25 04:14:46.611000+02:00,2025-08-25 04:16:31.792000+02:00
542020041221088+20250825155447+Fiji-Nadi-MO-D!20250825141851,2025-08-25 04:18:40+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,108137.0,2025-08-25T04:18:40.330000+02:00,-67.23,-1.72,16.68,2025-08-25T04:16:52.194000+02:00,Success,HSPA+,8.0,2025-08-25 04:16:52.194000+02:00,2025-08-25 04:18:40.330000+02:00
542020041221088+20250825155507+Fiji-Nadi-MO-D!20250825142057,2025-08-25 04:20:46+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,106154.0,2025-08-25T04:20:46.915000+02:00,-76.27,-11.92,8.76,2025-08-25T04:19:00.761000+02:00,Success,HSPA+,64.0,2025-08-25 04:19:00.761000+02:00,2025-08-25 04:20:46.915000+02:00
542020041221088+20250825155527+Fiji-Nadi-MO-D!20250825142302,2025-08-25 04:22:51+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104149.0,2025-08-25T04:22:51.300000+02:00,-70.03,-10.99,9.11,2025-08-25T04:21:07.151000+02:00,Success,HSPA+,64.0,2025-08-25 04:21:07.151000+02:00,2025-08-25 04:22:51.300000+02:00
542020041221088+20250825155547+Fiji-Nadi-MO-D!20250825142507,2025-08-25 04:24:56+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105154.0,2025-08-25T04:24:56.646000+02:00,-81.08,-4.26,9.65,2025-08-25T04:23:11.493000+02:00,Success,HSPA+,32.0,2025-08-25 04:23:11.493000+02:00,2025-08-25 04:24:56.646000+02:00
542020041221088+20250825155727+Fiji-Nadi-MO-D!20250825142712,2025-08-25 04:27:01+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104175.0,2025-08-25T04:27:01.051000+02:00,-85.3,-11.65,8.2,2025-08-25T04:25:16.876000+02:00,Success,HSPA+,64.0,2025-08-25 04:25:16.876000+02:00,2025-08-25 04:27:01.051000+02:00
