id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827135148+Fiji-Nadi-LTE-DL-D!20250827132524,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:21:06.909000+00:00,2025-08-27 01:24:06.987000+00:00,2025-08-27 01:21:11.909000+00:00,2025-08-27 01:24:04.987000+00:00,180.078,173.078
542020041221088+20250827135148+Fiji-Nadi-LTE-DL-D!20250827132524,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:21:06.909000+00:00,2025-08-27 01:24:06.997000+00:00,2025-08-27 01:21:11.909000+00:00,2025-08-27 01:24:04.997000+00:00,180.088,173.088
542020041221088+20250827135208+Fiji-Nadi-LTE-DL-D!20250827132735,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:24:07.988000+00:00,2025-08-27 01:27:08.109000+00:00,2025-08-27 01:24:12.988000+00:00,2025-08-27 01:27:06.109000+00:00,180.121,173.121
542020041221088+20250827135549+Fiji-Nadi-LTE-DL-D!20250827133724,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:33:22.503000+00:00,2025-08-27 01:36:22.619000+00:00,2025-08-27 01:33:27.503000+00:00,2025-08-27 01:36:20.619000+00:00,180.116,173.116
542020041221088+20250827135649+Fiji-Nadi-LTE-DL-D!20250827133934,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:36:23.651000+00:00,2025-08-27 01:39:23.775000+00:00,2025-08-27 01:36:28.651000+00:00,2025-08-27 01:39:21.775000+00:00,180.124,173.124
542020041221088+20250827140149+Fiji-Nadi-LTE-DL-D!20250827134245,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:39:24.752000+00:00,2025-08-27 01:42:24.880000+00:00,2025-08-27 01:39:29.752000+00:00,2025-08-27 01:42:22.880000+00:00,180.128,173.128
542020041221088+20250827140149+Fiji-Nadi-LTE-DL-D!20250827134245,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:42:25.875000+00:00,2025-08-27 01:42:44.910000+00:00,2025-08-27 01:42:30.875000+00:00,2025-08-27 01:42:42.910000+00:00,19.035,12.035
542020041221088+20250827140609+Fiji-Nadi-LTE-DL-D!20250827135810,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:54:09.587000+00:00,2025-08-27 01:57:09.713000+00:00,2025-08-27 01:54:14.587000+00:00,2025-08-27 01:57:07.713000+00:00,180.126,173.126
542020041221088+20250827140810+Fiji-Nadi-LTE-DL-D!20250827140022,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 01:57:10.719000+00:00,2025-08-27 02:00:10.833000+00:00,2025-08-27 01:57:15.719000+00:00,2025-08-27 02:00:08.833000+00:00,180.114,173.114
542020041221088+20250827141110+Fiji-Nadi-LTE-DL-D!20250827140445,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:00:11.854000+00:00,2025-08-27 02:03:11.958000+00:00,2025-08-27 02:00:16.854000+00:00,2025-08-27 02:03:09.958000+00:00,180.104,173.104
542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:03:12.955000+00:00,2025-08-27 02:06:13.056000+00:00,2025-08-27 02:03:17.955000+00:00,2025-08-27 02:06:11.056000+00:00,180.101,173.101
542020041221088+20250827144731+Fiji-Nadi-LTE-DL-D!20250827144643,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:42:38.350000+00:00,2025-08-27 02:45:38.465000+00:00,2025-08-27 02:42:43.350000+00:00,2025-08-27 02:45:36.465000+00:00,180.115,173.115
542020041221088+20250827144911+Fiji-Nadi-LTE-DL-D!20250827144857,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:45:39.463000+00:00,2025-08-27 02:48:39.603000+00:00,2025-08-27 02:45:44.463000+00:00,2025-08-27 02:48:37.603000+00:00,180.14,173.14
542020041221088+20250827145411+Fiji-Nadi-LTE-DL-D!20250827145328,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-27 02:48:40.578000+00:00,2025-08-27 02:51:40.702000+00:00,2025-08-27 02:48:45.578000+00:00,2025-08-27 02:51:38.702000+00:00,180.124,173.124
